"places_url_link","places_url_place","places_url_reviews_name","places_url_reviews_title","places_url_reviews_title_url","places_url_reviews_date","places_url_reviews_comment"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Terri D","Take your time, if you can","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r759424443-Little_Cottonwood_Canyon-Utah.html","Aug 2019","Yes, this really is a fun drive. Hopefully no one will be pushing you...sometimes travelers to and from Snowbird are in a hurry. Take your time, pull off when you can. A wonderful place!"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","camaronz","Very easy drive from the valley, great for an afternoon drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r718270594-Little_Cottonwood_Canyon-Utah.html","Oct 2019","This is a great drive if you wish to spend a couple of hours away from the city in the Fall. The colors are so nice and the road is easy, i guess it would be different once the snow comes but would still like to see it then too."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Michael B","Beautiful!","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r716798053-Little_Cottonwood_Canyon-Utah.html","Oct 2019 • Family","The fall colors are stellar. River is beautiful. Lots to do at Snowbird resort. If passing through Salt Lake take an hour and drive up canyon.You'll be glad you did."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Jeffrey O","So Beautiful and fun drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r708672715-Little_Cottonwood_Canyon-Utah.html","Sep 2019 • Solo","Just out for a drive while here on business and traveled through Little Copper Canyon. Went all the way to Alta Ski Lodge, pulled over and walked around. Spoke to an officer for about 20 minutes and got the low down on happenings around the area.
The drive is so beautiful and worth going to see. I was told there are some easy hikes that you can do and really get a great view of the entire canyon. My picture was on my way back down the canyon, so beautiful!"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Sherry B","Another Amazing Drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r685041515-Little_Cottonwood_Canyon-Utah.html","May 2019 • Couples","Had a wonderful day driving up and down this canyon. Enjoyed the amazing drive and seeing the snow. People were still skiing in the middle of May! This is a beautiful drive any time of the year, so take time to enjoy it."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Chuck","beautiful","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r678932777-Little_Cottonwood_Canyon-Utah.html","Mar 2019","One of the most beautiful places I've ever been. Went to ski but would love to go back during the other seasons."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Shanna S","So Pretty","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r659717476-Little_Cottonwood_Canyon-Utah.html","Mar 2019","The drive through the canyon is beautiful. Whether you ski or not, at least visit the area and see it. It is spectacular!"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","differentname","Summer and winter playground...","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r656456107-Little_Cottonwood_Canyon-Utah.html","Jan 2019 • Friends","It is also a playground for all those days in between. Most people don't know that there is fabulous hiking easily accessible from almost any starting point, with all degrees of difficulty.
Have fun!"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","JennScents","Beautiful drive, incredible scenery with off-the-beaten path hiking trails","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r600001134-Little_Cottonwood_Canyon-Utah.html","Jul 2018 • Business","We stumbled upon this beautiful drive, that led us to some incredible scenery and photo ops, with off-the-beaten path hiking trails. We stopped off on the side of the road at a little parking area. We could hear water flowing so we hiked the trail until we found a gorgeous creek with flowing water. We sat there taking in the fresh air, beautiful weather and enjoyed a snack. Traffic was a little congested heading to Alta, so we turned around and headed back. Still worth the trip."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","dragonflytw65","Beautiful!","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r558652577-Little_Cottonwood_Canyon-Utah.html","Jan 2018 • Couples","We had spent quite a lot of time in Big Cottonwood Canyon and our drive to Snowbird was our first time in Little Cottonwood Canyon. It was very different and just as beautiful. The drive alone is a must do for nature lovers visiting Salt Lake City and even non skiers will appreciate the atmosphere, restaurants, shops and views from Snowbird in the winter."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","ZekeMarsh","Lot of interesting hiking routes","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r537249946-Little_Cottonwood_Canyon-Utah.html","Oct 2017 • Friends","It's great. I had the chance to go to Lisa Falls and walking alongside the water, fantastic sights, fresh air. Honestly wish I had more time to spend here."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","HoleySneakers","Gorgeous Scenic Drive Just Outside the City","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r532321530-Little_Cottonwood_Canyon-Utah.html","Oct 2017 • Family","Little Cottonwood Canyon is one of the three main routes up to Salt Lake City's famous Ski areas. All three routes offer spectacular views. Little Cottonwood Canyon is an eight-mile drive that ends in the old mining town/now ski resort town of Alta. If the steep granite walls didn't clue you in, the heavily bunkered resort buildings and periodic gates and avalanche warning signs would tell you that this drive is not one to be taken lightly in the winter. But in the fall, the foliage is absolutely gorgeous, especially in contrast to the granite. If you want to get out and walk, there is Temple Quarry Trail at the mouth of the canyon. Just keep in mind that there are no dogs allowed anywhere in the canyon (to protect the watershed). Alta itself is a bit of a disappointment as a town, as there is really nothing there except the resort. But as a little getaway to nature that is just minutes away from Salt Lake City, it is definitely worth a visit."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","pbnc63","Fall visit","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r517726770-Little_Cottonwood_Canyon-Utah.html","Aug 2017 • Friends","Worth the short drive from Salt Lake City. Beautiful views. Follow the road all the way up past Alta. Alpine flowers in bloom. Peaceful and quiet."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","KB_222014","Beautiful drive. Very much worth your time if you love the outdoors.","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r507212250-Little_Cottonwood_Canyon-Utah.html","Jul 2017 • Couples","On our last trip to Salt Lake, my wife and I had about an hour or so of free time, so we decided to take a drive up the canyon. The road ends at Alta ski resort, so you'll need to turn around and go back to where you came from. Other canyons we have seen actually connect to roads on the other side - such as the drive up to Park City, for example. However, this probably means there are fewer cars along your way.
The scenery is breathtakingly beautiful. I'm sure it would be pretty dangerous during the winter months with snow and ice everywhere, but if you are here during the summer months, you have plenty of wonderful scenery to enjoy. Along the way, there are several places to stop and take pictures or just enjoy the view.
The drive up to the top of the road does not take very long - it's only about 9 miles or so from the base of the canyon to Alta. But it also means you can see the entire canyon quickly.
If you love the outdoors, you would love to make this drive."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","snorkelingfan46","Spectacular!","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r502211645-Little_Cottonwood_Canyon-Utah.html","Jul 2017 • Couples","Visiting family in Salt Lake City, our daughter took us up to Albion Basin in Little Cottonwood Canyon to see the wild flowers. Although mid-July may be a couple weeks before peak season, the hike up the path to the mountain lake was quite spectacular. It's the perfect place to escape the 90+ degree temps down in the City with a breezy mid-70's temperature to enjoy while climbing the trail. There is no shortage of wildflowers in all directions, as well as leftover snow pack in many places. The canyon in the winter is prime skiing area, so there are chairlift towers around, but not enough to diminish the enjoyment of the scenery. There are bathroom facilities by the main parking lot at the trail head. Parking can be a bit hard to find. The volunteers on the roadway will encourage you to park well below the trail and take a tram up to the final parking area, but we took the risk and were rewarded with a newly vacated spot. There are also a few turn-outs along the drive up that offer spaces for 3-5 cars, so it is possible to park short of the trail head and hike the road a ways. We noticed quite a number of couple with very young children in backpacks because the climb is only moderately demanding. Note, that the elevation in the canyon is over 9,000 above sea level, so if you are from a much lower altitude, you may possibly get a bit more winded than you might expect."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Mitch M","Beautiful drive!","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r498785198-Little_Cottonwood_Canyon-Utah.html","Jun 2017 • Business","An amazing scenic drive right outside of SLC! Just as beautiful as Big Cottonwood Canyon, but less crowded. The road also ends at Alta and you must go back in the same direction you came, unlike BCC."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Heather R","Beautiful drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r475401544-Little_Cottonwood_Canyon-Utah.html","Jun 2016 • Family","I think this is what I miss most about living in Utah. I used to live in Sandy, which is in the valley below the drive up the canyon. It's very easy to get there and it's not as crowded as Park City and some of the other scenic drives in Utah.
It's definitely my favorite drive in the fall. When the leaves are changing, it's an amazing drive. It's also got some nice hiking trails for the summer months. It's a nice break in the summer from the heat in the valley. The trees always smell amazing and there's usually a nice breeze.
I love this canyon and wish I could go back more often."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Kurt H","A Top 5 Scenic Ride Next to Major City","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r474336974-Little_Cottonwood_Canyon-Utah.html","Apr 2017 • Friends","One of the top 5 scenic drives within 30min of a major airport in the US, maybe the best. Glaciated, U-shaped canyon. Mountains rise 7,000 ft over Salt Lake valley floor. Tram ride at Snowbird is amongst the most scenic trams/gondolas in US, and new restaurant at top is an outstanding place to have a bit to eat, soak up sun and chew on God's scenery. Caution that if snowy, won't see much and road requires chains and/or 4WD with significant fine if you get stuck b/c you drove up with bad equipment (rent the right car at airport if winter). NO dogs allowed including in car (another min. $125.00 fine). Numerous excellent hikes in the canyon, but none are truly easy. Pretty much all are at least intermediate if not hard. 2 ski resorts, Alta, Snowbird are world class skiing, although Alta isn't world class hotels/amenities (people ski here, so this isn't peopled by boards of monied folks.) Enjoy it!"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Sherry B","Wonderful Snowy Drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r448522623-Little_Cottonwood_Canyon-Utah.html","Dec 2016 • Couples","Drove up this canyon 3 days before Christmas and enjoyed seeing all the snow and beautiful scenery. Stopped at Alta Ski area just to enjoy the view. Enjoyed watching the people ski. You should take time to drive up this canyon. It is worth your time, it takes about 30 min. to reach the Alta area once in the canyon."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","tibet71","Beautiful drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r437280701-Little_Cottonwood_Canyon-Utah.html","Nov 2016 • Couples","Little Cottonwood Canyon is short drive and it dead end about 8 miles from starting to finish. It is a beautiful drive but if you want a good choice of hiking I think Big Cottonwood Canyon is better. Little Cottonwood Canyon is the way to Snowbird where you can take the tram.
Both Canyon is easy access and the drive is easy but be careful and slow down on your way down."
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Little Cottonwood Canyon","Ruchi2787","Mesmerizing Canyon, can never get enough of it!","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r418801161-Little_Cottonwood_Canyon-Utah.html","Oct 2015 • Couples","Drove this canyon with mu husband countless number of times and each time it's been a unique, out of the world experience! Ski resorts in winter and alpine lakes and hike in summer, what could get better than this! Especially when the drive to the canyon from downtown SLC is not more than 25-30 mins. Never lived in a city so beautiful and with so much charisma surrounded!"
