"places_url_link","places_url_place","places_url_reviews_name","places_url_reviews_title","places_url_reviews_title_url","places_url_reviews_date","places_url_reviews_comment"
"https://www.tripadvisor.com/Attraction_Review-g57100-d4123677-Reviews-Nebo_Scenic_Loop_Byway-Payson_Utah.html","","","","","",""
"https://www.tripadvisor.com/Attraction_Review-g143015-d1925256-Reviews-Bryce_Canyon_National_Park-Bryce_Canyon_National_Park_Utah.html","","","","","",""
"https://www.tripadvisor.com/Attraction_Review-g143011-d12595041-Reviews-Arches_National_Park_Scenic_Drive-Arches_National_Park_Utah.html","","","","","",""
"https://www.tripadvisor.com/Attraction_Review-g60999-d290469-Reviews-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Grand Canyon of the Yellowstone","Traveler_2579000","Don't Leave Yellowstone Without Checking This Out!","https://www.tripadvisor.com/ShowUserReviews-g60999-d290469-r819470145-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Jul 2021","After spending several days in Yellowstone, this was on the agenda for the last day of sightseeing. WOW - What a great way to end my visit. The views are beyond amazing, bring a camera but don't forgot to just soak up the experience. As other reviews mentioned, check out both the upper and lower falls if you have time but be prepared for steep paved trails to the lower falls. Explore some of the other dirt trails too if you can. Definitely a must do if you are in Yellowstone."
"https://www.tripadvisor.com/Attraction_Review-g60999-d290469-Reviews-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Grand Canyon of the Yellowstone","MTB-Illinois","Beautiful!","https://www.tripadvisor.com/ShowUserReviews-g60999-d290469-r817112643-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Oct 2021","Spectacular and beautiful. The colors are absolutely amazing. I enjoyed the waterfall and grand canyon! This is definitely a must-see!"
"https://www.tripadvisor.com/Attraction_Review-g60999-d290469-Reviews-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Grand Canyon of the Yellowstone","atlas993","The best of Yellowstone","https://www.tripadvisor.com/ShowUserReviews-g60999-d290469-r815896901-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Jun 2021 • Family","WOW, this was my favorite part of our whole Yellowstone trip. What an amazing sight and experience. We visited a number of stops all around the canyon and each one was better than the last. I highly recommend you plan to spend at least a half day exploring this area of Yellowstone and start early to avoid some crowds. This should definitely be at the top of your list for your Yellowstone trip!"
"https://www.tripadvisor.com/Attraction_Review-g60999-d290469-Reviews-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Grand Canyon of the Yellowstone","R B","Great Waterfalls","https://www.tripadvisor.com/ShowUserReviews-g60999-d290469-r813433342-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Sep 2021","One of my favorite areas of the park, breathtaking scenery, especially the waterfalls. Lots of different viewing areas and trails, it is a must see."
"https://www.tripadvisor.com/Attraction_Review-g60999-d290469-Reviews-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Grand Canyon of the Yellowstone","Mike H","Artist Point","https://www.tripadvisor.com/ShowUserReviews-g60999-d290469-r812895877-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Sep 2021","The best location to see the falls and the river is Artist Point. The northern side has some views but if you are only going to hit one then do this one."
"https://www.tripadvisor.com/Attraction_Review-g60999-d290469-Reviews-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Grand Canyon of the Yellowstone","Jeff Y","Beautiful","https://www.tripadvisor.com/ShowUserReviews-g60999-d290469-r812758061-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Sep 2021","Go early before the crowds arrive, great place for a hike. Amazing wildlife viewing. For sure a must see"
"https://www.tripadvisor.com/Attraction_Review-g60999-d290469-Reviews-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Grand Canyon of the Yellowstone","cnn73","Stunning Vista!","https://www.tripadvisor.com/ShowUserReviews-g60999-d290469-r812583971-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html","Oct 2021 • Couples","What a beautiful sight the Grand Canyon of Yellowstone is! Getting to the best views was easy because of the great stairs and walkways they have available! Viewing the interesting rock formations and the river coursing through the canyon was a sight to behold. Must see."
