"places_url_link","places_url_place","places_url_reviews_name","places_url_reviews_title","places_url_reviews_title_url","places_url_reviews_visit_time","places_url_reviews_comment","places_url_reviews_contributions","places_url_reviews_review_time"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","Yoram H","A must place for every one traveling in the area.","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r817008782-Hill_Aerospace_Museum-Ogden_Utah.html","Oct 2021","The Hill AF museum is an exellent Aeronautical museum, for every on. Every time i am trveling in the are i must save some time to visit the Hill museum. The outside and inside exibit Airplanes are wonderfull and kept in a very good condition. Eveery one can learn about the fighters and bombers used during the WW2, Vietnam and later wars. A MUST point to visit in Ogden area.","51 contributions","Written November 1, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","Stephanie S","""Off we went . . . into the Wild Blue Yonder!""","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r810163616-Hill_Aerospace_Museum-Ogden_Utah.html","Aug 2021","Wow! Huge selection of WWI through present-day aircraft, both inside and outside the museum, all perfectly displayed. Plenty of informative signage to learn about each plane and accompanying paraphernalia. Knowledgable and friendly retired airmen (?) available to answer any question. Large and well-stocked gift shop, too. We really enjoyed our visit!","72 contributions","Written September 15, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","Patricia M","Aviation history","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r795191621-Hill_Aerospace_Museum-Ogden_Utah.html","Jul 2021 • Couples","I'm not a military or aviation fanatic, but I did enjoy walking through the exhibits. There's lots to see indoor if it's too hot to walk through the outdoor exhibit. There's a scavenger hunt to keep young kids interested.","23 contributions","Written July 2, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","NickK7501","Best air and space museum west of the Smithsonian.","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r794357042-Hill_Aerospace_Museum-Ogden_Utah.html","Jun 2021 • Couples","What a find! An incredible collection of aircraft from throughout history, along with memorabilia, artifacts and placards to explain it all.
Spread across two large hangers and outdoors, this place is incredible - and free (other than your tax dollars). Wear comfortable walking shoes for these concrete floors.
A must-see for any air buff.","257 contributions","Written June 27, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","Matthew T","Airplane Junkie","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r789432251-Hill_Aerospace_Museum-Ogden_Utah.html","May 2021 • Family","I am an airplane junkie. I love getting to go to museums that have anything to do space and aerospace. While this pales in comparison to other museums size wise, it is still definitely worth a visit. For me this was a trip down memory lane. The aircraft that are indoors are very well preserved and cared for. While there are some items that have displays explaining what the items are, there are some that are not labeled. There is a very descriptive display for our heroes that served in Vietnam. The museum is free to visit although there are plenty of donation boxes around the museum. The staff do not bug you about contributions. The staff are also very friendly and want to help. Like I said, it is definitely worth a visit if you have any interest in aircaraft.","","Written May 21, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","GaryJodiF","A highlight of our Salt Lake City area visit","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r788777252-Hill_Aerospace_Museum-Ogden_Utah.html","May 2021","What an amazing collection of historic planes. A must see for anyone interested in military history or airplanes. Well worth the trip to Ogden.","36 contributions","Written May 14, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","CG Commander","Excellent Display of Military Aircraft","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r788070080-Hill_Aerospace_Museum-Ogden_Utah.html","May 2021","Outstanding display of aviation history in the military services. The aircraft are displayed so that you can observe them, and there are volunteers to answer questions.
I am a retired Coast Guard Officer, and the gift shop had more Coast Guard ""stuff"" than any Coast Guard Exchange.....and I bought at least one of each item they were selling.","853 contributions","Written May 6, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","mcanultyc","Outstanding Aerospace Museum","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r786097314-Hill_Aerospace_Museum-Ogden_Utah.html","Apr 2021 • Family","Today was our first ever visit to this museum and we were absolutely thankful we found it!! The displays of military planes were wonderful and informative. The volunteers were great with some wonderful historical knowledge of facts about the military planes in the museum. The gift shop had a wonderful variety of items to purchase from toy planes to clothing. Highly recommend this place for families and aviation fans, especially when you’re able to enjoy everything at no cost!!!","88 contributions","Written April 7, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","NicoleHT","Knowledgeable Staff, great gift store","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r783093339-Hill_Aerospace_Museum-Ogden_Utah.html","Oct 2020","I can't believe this place is free. I would happily pay but am so thankful it is free. My husband LOVES jets/planes, etc. My son also really enjoyed it and I did too. I learned SO much. The staff was so very helpful and I was blown away by their knowledge. They really go above and beyond to make guests understand what they are looking at.
We bought some things from the gift shop, the staff in the shop was so friendly and helpful too.
After we spent an hour or so in the museum we ate outside at a picnic table (I packed lunch) and it was REALLY fun to eat as a family under the wing of jet. If you are even slightly interested in jets/planes you will have a ball here!","328 contributions","Written February 17, 2021"
"https://www.tripadvisor.com/Attraction_Review-g57090-d285790-Reviews-Hill_Aerospace_Museum-Ogden_Utah.html","Hill Aerospace Museum","Steven P","F117 Stealth Fighter added to their collection!","https://www.tripadvisor.com/ShowUserReviews-g57090-d285790-r781179146-Hill_Aerospace_Museum-Ogden_Utah.html","Jan 2021","An excellent air museum with a very large and well-maintained collection. They received an F117 in August 2020 and it is being restored on the museum floor in full view of visitors.","3,812 contributions","Written January 15, 2021"
